[Friday/October 17/10/2025 16:41:47] /home/mb/Desktop/TY/DE/B1-B2/Ziel B1+/Hueber Verlag - Ziel B1+ Kursbuch 1-4/02. Дорожка 2.mp3 | length=104.4 | time=103.12751043871
[Sunday/October 19/10/2025 20:20:32] /home/mb/Downloads/Speakout 3rd Edition (2022)/Speakout 3rd Edition A2/Speakout 3rd Edition A2 Class Audio/014_SO3_A2_SB_1B_Audio_1_0X.mp3 | length=135.912 | time=22.614218080667
[Monday/October 20/10/2025 20:38:55] /home/mb/Downloads/Speakout 3rd Edition (2022)/Speakout 3rd Edition A2/Speakout 3rd Edition A2 Videos/SO3 A2 U2 BBC Vlogs.mp4 | length=98.84 | time=97.4
[Tuesday/October 21/10/2025 17:33:24] /home/mb/Videos/TODO/cowboy/CowboyBebop_S01E014.mp4 | length=1481.1463222222 | time=260.59324444444
[Tuesday/October 21/10/2025 18:50:47] /home/mb/Desktop/TY/DE/B1-B2/Ziel B2/B2 Band 1/Kursbuch Audio/CD1/01 Erlebt 1.wma | length=33.157 | time=32.607803370596
[Tuesday/October 21/10/2025 18:57:21] /home/mb/Desktop/TY/DE/B1-B2/Ziel B2/B2 Band 1/Kursbuch Audio/CD1/02 Erlebt 2.wma | length=188.731 | time=187.65198412698
[Wednesday/October 22/10/2025 20:27:56] /home/mb/Downloads/Speakout 3rd Edition (2022)/Speakout 3rd Edition A2/Speakout 3rd Edition A2 Class Audio/027_SO3_A2_SB_2A_Audio_2_01.mp3 | length=45.888 | time=45.646100884001
[Wednesday/October 22/10/2025 20:32:11] /home/mb/Downloads/Speakout 3rd Edition (2022)/Speakout 3rd Edition A2/Speakout 3rd Edition A2 Class Audio/028_SO3_A2_SB_2A_Audio_2_02.mp3 | length=278.88 | time=9.7849375
[Wednesday/October 22/10/2025 20:35:27] /home/mb/Downloads/Speakout 3rd Edition (2022)/Speakout 3rd Edition A2/Speakout 3rd Edition A2 Class Audio/039_SO3_A2_SB_2A_Audio_VB2_01.mp3 | length=191.208 | time=190.44363272134
[Wednesday/October 22/10/2025 20:37:14] /home/mb/Downloads/Speakout 3rd Edition (2022)/Speakout 3rd Edition A2/Speakout 3rd Edition A2 Class Audio/029_SO3_A2_SB_2A_Audio_2_03.mp3 | length=12.72 | time=0
[Wednesday/October 22/10/2025 20:37:15] /home/mb/Downloads/Speakout 3rd Edition (2022)/Speakout 3rd Edition A2/Speakout 3rd Edition A2 Class Audio/028_SO3_A2_SB_2A_Audio_2_02.mp3 | length=278.88 | time=13.368916666667
[Wednesday/October 22/10/2025 20:37:20] /home/mb/Downloads/Speakout 3rd Edition (2022)/Speakout 3rd Edition A2/Speakout 3rd Edition A2 Class Audio/029_SO3_A2_SB_2A_Audio_2_03.mp3 | length=12.72 | time=5.6916220153333
[Wednesday/October 22/10/2025 21:04:07] /home/mb/Downloads/Speakout 3rd Edition (2022)/Speakout 3rd Edition A2/Speakout 3rd Edition A2 Class Audio/028_SO3_A2_SB_2A_Audio_2_02.mp3 | length=278.88 | time=271.97802083334
[Friday/October 24/10/2025 22:17:28] /home/mb/Videos/TODO/cowboy/CowboyBebop_S01E014.mp4 | length=1481.1463222222 | time=343.17574444444
